OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Population 16 years and over, 2022","# Population 16 years and over, 2022 (MOE)","# In labor force, 2022","# In labor force, 2022 (MOE)","% In labor force, 2022","% In labor force, 2022 (MOE)","# In civilian labor force, 2022","# In civilian labor force, 2022 (MOE)","% In civilian labor force, 2022","% In civilian labor force, 2022 (MOE)","# Civilian employed, 2022","# Civilian employed, 2022 (MOE)","% Civilian employed, 2022","% Civilian employed, 2022 (MOE)","# Civilian unemployed, 2022","# Civilian unemployed, 2022 (MOE)","% Civilian unemployed, 2022","% Civilian unemployed, 2022 (MOE)","# In armed forces, 2022","# In armed forces, 2022 (MOE)","% In armed forces, 2022","% In armed forces, 2022 (MOE)","# Not in labor force, 2022","# Not in labor force, 2022 (MOE)","% Not in labor force, 2022","% Not in labor force, 2022 (MOE)","% Unemployed as part of total labor force (including armed forces), 2022","% Unemployed as part of total labor force (including armed forces), 2022 (MOE)","# Civilian Unemployed, 2022","# Civilian Unemployed, 2022 (MOE)","% Unemployment Rate, 2022","% Unemployment Rate, 2022 (MOE)",Shape__Area,Shape__Length
67,NSAP03,Atlanta Regional Commission,Yes,4708,NSA,2020,NSA P03,1408,279,971,281,69,14.5,971,281,69,14.5,915,272,65,14.4,57,78,4,5.5,0,45,0,3.2,436,130,31,6.9,5.8,7.9,57,78,5.8,7.9,3633706.215,11336.40804
68,NSAP04,Atlanta Regional Commission,Yes,4709,NSA,2020,NSA P04,2245,400,1655,440,73.7,14.5,1655,440,73.7,14.5,1592,434,70.9,14.6,62,90,2.8,4,0,55,0,2.5,591,174,26.3,6.2,3.8,5.3,62,90,3.8,5.3,5664198.621,13397.71389
69,NSAP05,Atlanta Regional Commission,Yes,4710,NSA,2020,NSA P05,2277,410,1619,478,71.1,16.7,1619,478,71.1,16.7,1513,459,66.4,16.2,105,158,4.6,6.9,0,60,0,2.7,659,238,28.9,9.1,6.5,9.5,105,158,6.5,9.5,7599816.941,16599.38798
70,NSAP06,Atlanta Regional Commission,Yes,4711,NSA,2020,NSA P06,2646,854,1234,542,46.6,13.9,1234,542,46.6,13.9,1195,533,45.1,13.9,40,110,1.5,4.1,0,64,0,2.4,1412,512,53.4,8.8,3.2,8.8,40,110,3.2,8.8,3629941.641,9686.104754
71,NSAQ01,Atlanta Regional Commission,Yes,4712,NSA,2020,NSA Q01,1390,334,834,316,60,17.6,834,316,60,17.6,727,288,52.3,16.4,107,153,7.7,10.9,0,50,0,3.6,556,242,40,14.5,12.8,17.7,107,153,12.8,17.7,3867073.363,16891.2749
72,NSAR01,Atlanta Regional Commission,Yes,4713,NSA,2020,NSA R01,5189,972,2985,846,57.5,12.2,2985,846,57.5,12.2,2805,841,54.1,12.7,180,139,3.5,2.6,0,88,0,1.7,2204,505,42.5,5.6,6,4.3,180,139,6,4.3,3458015.875,11215.18899
73,NSAR02,Atlanta Regional Commission,Yes,4714,NSA,2020,NSA R02,5630,807,3723,697,66.1,8,3718,696,66,8,3438,661,61.1,7.8,280,249,5,4.4,5,103,0.1,1.8,1908,376,33.9,4.6,7.5,6.5,280,249,7.5,6.5,11834606.55,21118.28114
74,NSAR03,Atlanta Regional Commission,Yes,4715,NSA,2020,NSA R03,3146,557,1760,468,55.9,11.1,1760,468,55.9,11.1,1644,457,52.3,11.2,116,120,3.7,3.8,0,63,0,2,1386,417,44.1,10.7,6.6,6.6,116,120,6.6,6.6,4944702.078,13192.74372
75,NSAS01,Atlanta Regional Commission,Yes,4716,NSA,2020,NSA S01,2856,470,1846,409,64.6,9.6,1846,409,64.6,9.6,1598,327,56,6.8,248,207,8.7,7.1,0,90,0,3.1,1010,267,35.4,7.3,13.4,10.8,248,207,13.4,10.8,4027650.344,11412.19007
76,NSAS02,Atlanta Regional Commission,Yes,4717,NSA,2020,NSA S02,3494,593,2172,548,62.2,11.6,2169,548,62.1,11.6,1926,432,55.1,8.1,244,353,7,10,3,83,0.1,2.4,1322,328,37.8,6.9,11.2,16,244,353,11.2,16,6803256.523,12949.51856
77,NSAS03,Atlanta Regional Commission,Yes,4718,NSA,2020,NSA S03,1845,462,1079,375,58.5,14.1,1079,375,58.5,14.1,922,266,50,7.1,157,219,8.5,11.7,0,52,0,2.8,766,277,41.5,10.8,14.6,19.7,157,219,14.6,19.7,4024335.969,8732.084213
78,NSAT01,Atlanta Regional Commission,Yes,4719,NSA,2020,NSA T01,2022,510,1173,310,58,4.6,1162,309,57.5,4.9,1080,303,53.4,6.6,82,103,4,5,11,73,0.5,3.6,849,261,42,7.4,7,8.6,82,103,7,8.6,1654368.27,6457.431196
